Vervoerwijzen;Perioden;Regios;Reizigerskilometers (mld km)
Bus/tram/metro;2010;Noord-Holland (PV);     1.3
Bus/tram/metro;2011;Noord-Holland (PV);     1.4
Bus/tram/metro;2012;Noord-Holland (PV);     1.3
Bus/tram/metro;2013;Noord-Holland (PV);     1.3
Bus/tram/metro;2014;Noord-Holland (PV);     1.2
Bus/tram/metro;2015;Noord-Holland (PV);     1.3
Bus/tram/metro;2016;Noord-Holland (PV);     1.3
Bus/tram/metro;2017;Noord-Holland (PV);     1.3
Bus/tram/metro;2010;Zuid-Holland (PV);     1.6
Bus/tram/metro;2011;Zuid-Holland (PV);     1.8
Bus/tram/metro;2012;Zuid-Holland (PV);     1.5
Bus/tram/metro;2013;Zuid-Holland (PV);     1.7
Bus/tram/metro;2014;Zuid-Holland (PV);     1.6
Bus/tram/metro;2015;Zuid-Holland (PV);     1.8
Bus/tram/metro;2016;Zuid-Holland (PV);     1.9
Bus/tram/metro;2017;Zuid-Holland (PV);     1.7
Bus/tram/metro;2010;Zeeland (PV);     0.1
Bus/tram/metro;2011;Zeeland (PV);     0.1
Bus/tram/metro;2012;Zeeland (PV);     0.1
Bus/tram/metro;2013;Zeeland (PV);     0.1
Bus/tram/metro;2014;Zeeland (PV);     0.1
Bus/tram/metro;2015;Zeeland (PV);     0.1
Bus/tram/metro;2016;Zeeland (PV);     0.1
Bus/tram/metro;2017;Zeeland (PV);     0.1
Bus/tram/metro;2010;Noord-Brabant (PV);     0.5
Bus/tram/metro;2011;Noord-Brabant (PV);     0.5
Bus/tram/metro;2012;Noord-Brabant (PV);     0.5
Bus/tram/metro;2013;Noord-Brabant (PV);     0.5
Bus/tram/metro;2014;Noord-Brabant (PV);     0.4
Bus/tram/metro;2015;Noord-Brabant (PV);     0.6
Bus/tram/metro;2016;Noord-Brabant (PV);     0.6
Bus/tram/metro;2017;Noord-Brabant (PV);     0.5
Bus/tram/metro;2010;Limburg (PV);     0.3
Bus/tram/metro;2011;Limburg (PV);     0.2
Bus/tram/metro;2012;Limburg (PV);     0.3
Bus/tram/metro;2013;Limburg (PV);     0.2
Bus/tram/metro;2014;Limburg (PV);     0.3
Bus/tram/metro;2015;Limburg (PV);     0.2
Bus/tram/metro;2016;Limburg (PV);     0.3
